id,carat,cut,color,clarity,depth,table,x,y,z,price
158769,0.7,Good,I,VS1,62.8,65.0,5.59,5.64,3.53,2394
133393,1.16,Premium,G,SI2,61.9,58.0,6.79,6.73,4.17,5172
43366,1.51,Ideal,G,VS2,60.0,57.0,7.54,7.5,4.48,13007
112153,0.51,Very Good,G,SI1,61.8,60.0,5.08,5.11,3.15,1262
184041,1.05,Premium,G,VS2,61.6,58.0,6.54,6.51,4.02,6416
35246,1.52,Good,I,SI1,63.7,59.0,7.3,7.26,4.64,7528
93156,1.04,Ideal,E,SI2,62.1,57.0,6.47,6.42,4.01,4383
167153,1.5,Good,G,VS2,63.6,57.0,7.22,7.24,4.59,11703
42376,0.32,Ideal,G,IF,61.2,56.0,4.44,4.42,2.71,921
137899,0.58,Ideal,G,SI1,62.9,54.0,5.32,5.38,3.36,1435
162998,1.01,Very Good,G,SI2,62.9,59.0,6.35,6.43,4.02,4591
88937,0.31,Ideal,D,VS2,63.0,55.0,4.34,4.31,2.72,734
105493,2.01,Very Good,H,SI1,63.1,58.0,8.01,7.99,5.04,15821
40280,1.25,Premium,I,VS1,60.4,59.0,7.02,6.93,4.22,6640
77698,0.59,Ideal,E,VS2,61.3,55.0,5.38,5.4,3.3,2302
135263,0.32,Ideal,F,VVS1,62.4,57.0,4.4,4.43,2.75,767
45477,0.56,Ideal,E,VVS2,62.9,57.0,5.27,5.23,3.31,2441
13117,1.0,Good,F,VS2,63.4,58.0,6.29,6.34,4.0,6462
92160,0.3,Premium,J,VS1,62.3,59.0,4.26,4.28,2.66,394
140881,0.7,Very Good,D,SI1,60.5,57.0,5.76,5.8,3.5,3075
22372,1.6,Ideal,E,SI2,62.5,56.0,7.46,7.43,4.66,10800
18532,0.41,Good,J,VS2,63.4,54.4,4.72,4.75,3.0,637
150636,0.5,Very Good,D,VS1,62.8,55.1,5.07,5.1,3.2,1804
62598,1.12,Very Good,D,SI2,62.2,58.0,6.59,6.63,4.11,5698
149461,0.56,Premium,G,VS2,62.7,58.0,5.28,5.21,3.29,1607
18224,1.0,Premium,H,SI1,62.8,56.0,6.44,6.4,4.03,4389
152737,0.7,Premium,E,SI1,60.5,62.0,5.75,5.71,3.47,2635
159665,0.59,Very Good,F,SI1,60.8,58.0,5.41,5.44,3.3,1631
55236,0.3,Very Good,I,VS1,63.0,60.0,4.24,4.27,2.68,473
191649,0.52,Ideal,D,SI1,62.3,54.0,5.14,5.18,3.22,1601
126897,0.7,Very Good,D,SI1,63.3,57.0,5.74,5.68,3.62,2415
151974,0.31,Ideal,E,VVS2,60.8,57.0,4.35,4.38,2.66,932
188990,1.01,Very Good,F,VS1,63.5,56.0,6.34,6.31,4.02,7293
180270,0.33,Ideal,H,VS1,62.6,57.0,4.43,4.46,2.79,579
52209,0.31,Ideal,H,VS1,61.6,56.0,4.35,4.39,2.69,647
5485,1.03,Ideal,E,VS2,60.9,56.0,6.54,6.6,4.0,7370
127992,0.3,Premium,G,VS1,62.3,59.0,4.29,4.27,2.66,776
14468,1.23,Very Good,F,VS1,61.8,58.0,6.83,6.89,4.25,9735
163862,0.31,Premium,H,VS2,60.7,59.0,4.4,4.42,2.67,630
80349,0.33,Ideal,F,VS2,62.4,55.0,4.41,4.44,2.76,666
47626,0.51,Ideal,G,VVS2,60.8,57.0,5.12,5.16,3.13,1935
134564,0.9,Premium,F,SI1,61.4,58.0,6.19,6.24,3.82,4234
86783,0.7,Very Good,G,VS2,62.3,59.0,5.65,5.68,3.53,2872
186202,0.3,Premium,D,VS1,60.6,59.0,4.3,4.34,2.61,814
80895,0.38,Ideal,D,VVS2,61.4,56.0,4.66,4.68,2.87,1257
46765,0.72,Very Good,F,SI1,62.4,57.0,5.71,5.74,3.58,2395
151502,0.3,Ideal,G,VVS1,61.9,55.0,4.37,4.39,2.71,754
